INFO  - 2013-10-08 14:41:24.737; org.apache.solr.update.DirectUpdateHandler2; closing DirectUpdateHandler2{commits=2,autocommit maxTime=15000ms,autocommits=0,soft autocommits=0,optimizes=0,rollbacks=0,expungeDeletes=0,docsPending=0,adds=0,deletesById=0,deletesByQuery=0,errors=0,cumulative_adds=114,cumulative_deletesById=0,cumulative_deletesByQuery=1,cumulative_errors=0}
INFO  - 2013-10-08 14:41:24.739; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@284f4e64 main{StandardDirectoryReader(segments_6q:193:nrt _1j(4.3):C114)}
INFO  - 2013-10-08 14:41:24.743; org.apache.solr.core.SolrCore; [collection1] Closing main searcher on request.
INFO  - 2013-10-08 14:41:24.757; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={_=1381236084747&wt=json} status=0 QTime=1 
INFO  - 2013-10-08 14:41:25.428; org.apache.solr.update.DirectUpdateHandler2; start commit{,optimize=true,openSearcher=true,waitSearcher=true,expungeDeletes=false,softCommit=false,prepareCommit=false}
INFO  - 2013-10-08 14:41:25.441; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits:num=2
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.MMapDirectory@C:\Users\Neblich\Desktop\solr\example\solr\collection1\data\index lockFactory=org.apache.lucene.store.NativeFSLockFactory@52bf7b40; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_6q,generation=242,filenames=[_1j_Lucene41_0.pos, _1j.nvm, _1j.si, _1j.fdt, _1j.fnm, _1j.nvd, _1j_Lucene41_0.tim, _1j.fdx, _1j_Lucene41_0.tip, _1j_Lucene41_0.doc, segments_6q]
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.MMapDirectory@C:\Users\Neblich\Desktop\solr\example\solr\collection1\data\index lockFactory=org.apache.lucene.store.NativeFSLockFactory@52bf7b40; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_6r,generation=243,filenames=[_1j_Lucene41_0.pos, _1j.nvm, _1j.si, _1j.fdt, _1j.fnm, _1j.nvd, _1j_Lucene41_0.tim, _1j.fdx, _1j_Lucene41_0.tip, _1j_Lucene41_0.doc, segments_6r]
INFO  - 2013-10-08 14:41:25.442; org.apache.solr.core.SolrDeletionPolicy; newest commit = 243[_1j_Lucene41_0.pos, _1j.nvm, _1j.si, _1j.fdt, _1j.fnm, _1j.nvd, _1j_Lucene41_0.tim, _1j.fdx, _1j_Lucene41_0.tip, _1j_Lucene41_0.doc, segments_6r]
INFO  - 2013-10-08 14:41:25.443; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@11a782e4 main
INFO  - 2013-10-08 14:41:25.443; org.apache.solr.update.DirectUpdateHandler2; end_commit_flush
INFO  - 2013-10-08 14:41:25.443; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@11a782e4 main{StandardDirectoryReader(segments_6q:193:nrt _1j(4.3):C114)}
INFO  - 2013-10-08 14:41:25.444; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2013-10-08 14:41:25.446; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@11a782e4 main{StandardDirectoryReader(segments_6q:193:nrt _1j(4.3):C114)}
INFO  - 2013-10-08 14:41:25.446; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={optimize=true&_=1381236085418&wt=json&waitFlush=true} {optimize=} 0 18
INFO  - 2013-10-08 14:41:27.884; org.apache.solr.request.UnInvertedField; UnInverted multi-valued field {field=author_s,memSize=4420,tindexSize=40,time=1,phase1=1,nTerms=1,bigTerms=1,termInstances=0,uses=0}
INFO  - 2013-10-08 14:41:27.885; org.apache.solr.request.UnInvertedField; UnInverted multi-valued field {field=origin_s,memSize=4994,tindexSize=48,time=0,phase1=0,nTerms=56,bigTerms=2,termInstances=83,uses=0}
INFO  - 2013-10-08 14:41:28.094; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/browse params={} hits=114 status=0 QTime=213 
INFO  - 2013-10-08 14:41:28.457; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/main.css&contentType=text/css} status=0 QTime=0 
INFO  - 2013-10-08 14:41:28.465; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/jquery.autocomplete.css&contentType=text/css} status=0 QTime=1 
INFO  - 2013-10-08 14:41:28.466; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/timeline-api.js} status=0 QTime=0 
INFO  - 2013-10-08 14:41:28.468; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/jquery.autocomplete.js&contentType=text/javascript} status=0 QTime=1 
INFO  - 2013-10-08 14:41:28.523; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/scripts/timeline.js} status=0 QTime=0 
INFO  - 2013-10-08 14:41:28.524; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/scripts/band.js} status=0 QTime=1 
